id;word;slog
1;ABAD;A-BAD
2;ABADIY;A-BA-DIY
3;ABADIYLASHMOQ;A-BA-DIY-LASH-MOQ
4;ABADIYLASHTIRMOQ;A-BA-DIY-LASH-TIR-MOQ
5;ABADIYLIK;A-BA-DIY-LIK
6;ABADIYAT;A-BA-DI-YAT
7;ABADULABAD;A-BA-DUL-A-BAD
8;ABAJUR;A-BA-JUR
9;ABAJURLI;A-BA-JUR-LI
10;ABAS;A-BAS
11;ABBAT;AB-BAT
12;ABBOSIYLAR;AB-BO-SIY-LAR
13;ABBREVIATURA;AB-BRE-VI-A-TU-RA
14;ABGOR;AB-GOR
15;ABGORLIK;AB-GOR-LIK
16;ABJAD;AB-JAD
17;ABJAQ;AB-JAQ
18;ABJAQLAMOQ;AB-JAQ-LA-MOQ
19;ABJIR;AB-JIR
20;ABJIRLIK;AB-JIR-LIK
21;ABZAL;AB-ZAL
22;ABZALLAMOQ;AB-ZAL-LA-MOQ
23;ABIRA;A-BI-RA
24;ABITURIYENT;A-BI-TU-RI-YENT
25;ABLAH;AB-LAH
26;ABLAHLIK;AB-LAH-LIK
27;ABLAHONA;AB-LA-HO-NA
28;ABO;A-BO
29;ABONEMENT;A-BO-NE-MENT
30;ABONENT;A-BO-NENT
31;ABORIGEN;A-BO-RI-GEN
32;ABORIGENLAR;A-BO-RI-GEN-LAR
33;ABORT;A-BORT
34;ABORTIV;A-BOR-TIV
35;ABRO‘;AB-RO‘
36;ABRO‘KAMON;AB-RO‘-KA-MON
37;ABSOLYUT;AB-SO-LYUT
38;ABSOLYUTIZM;AB-SO-LYU-TIZM
39;ABU;A-BU
40;ABXAZ;AB-XAZ
41;ABXAZLAR;AB-XAZ-LAR
42;AVAG‘A;A-VA-G‘A
43;AVAYLAMOQ;A-VAY-LA-MOQ
44;AVANGARD;A-VAN-GARD
45;AVANGARDIZM;A-VAN-GAR-DIZM
46;AVANS;A-VANS
47;AVANTYURA;A-VAN-TYU-RA
48;AVANTYURIZM;A-VAN-TYU-RIZM
49;AVANTYURIST;A-VAN-TYU-RIST
50;AVANTYURISTIK;A-VAN-TYU-RIS-TIK
51;AVAR;A-VAR
52;AVARA;A-VA-RA
53;AVARIYA;A-VA-RI-YA
54;AVARLAR;A-VAR-LAR
55;AVAXTA;A-VAX-TA
56;AVBOSH;AV-BOSH
57;AVVAL;AV-VAL
58;AVVALAMBOR;AV-VA-LAM-BOR
59;AVVALAN;AV-VA-LAN
60;AVVALBOSHI;AV-VAL-BO-SHI
61;AVVALGI;AV-VAL-GI
62;AVVALGIDAY;AV-VAL-GI-DAY
63;AVVALGICHA;AV-VAL-GI-CHA
64;AVVALI;AV-VA-LI
65;AVVALIGA;AV-VA-LI-GA
66;AVVALO;AV-VA-LO
67;AVGUST;AV-GUST
68;AVJ;AVJ
69;AVJI;AV-JI
70;AVJIDA;AV-JI-DA
71;AVJLANMOQ;AVJ-LAN-MOQ
72;AVZO;AV-ZO
73;AVIA;A-VI-A
74;AVIAKOMPANIYA;A-VI-A-KOM-PA-NI-YA
75;AVIAKOMPAS;A-VI-A-KOM-PAS
76;AVIALINIYA;A-VI-A-LI-NI-YA
77;AVIAMODELCHI;A-VI-A-MO-DEL-CHI
78;AVIAMODELCHILIK;A-VI-A-MO-DEL-CHI-LIK
79;AVIAMODEL;A-VI-A-MO-DEL
80;AVIAPOCHTA;A-VI-A-POCH-TA
81;AVIASALON;A-VI-A-SA-LON
82;AVIATOR;A-VI-A-TOR
83;AVIATRASSA;A-VI-A-TRAS-SA
84;AVIASIYA;A-VI-A-SI-YA
85;AVIZO;A-VI-ZO
86;AVITAMINOZLAR;A-VI-TA-MI-NOZ-LAR
87;AVLIYO;AV-LI-YO
88;AVLIYONAMO;AV-LI-YO-NA-MO
89;AVLIYOULLOH;AV-LI-YO-UL-LOH
90;AVLOD;AV-LOD
91;AVLOQ;AV-LOQ
92;AVOM;A-VOM
93;AVRA;AV-RA
94;AVRABAND;AV-RA-BAND
95;AVRAG‘ICH;AV-RA-G‘ICH
96;AVRAMOQ;AV-RA-MOQ
97;AVRAT;AV-RAT
98;AVRATPO‘SH;AV-RAT-PO‘SH
99;AVTO;AV-TO
100;AVTOBAZA;AV-TO-BA-ZA
101;AVTOBIOGRAFIK;AV-TO-BI-O-GRA-FIK
102;AVTOBIOGRAFIYA;AV-TO-BI-O-GRA-FI-YA
103;AVTOBLOKIROVKA;AV-TO-BLO-KI-ROV-KA
104;AVTOBUS;AV-TO-BUS
